
| Word                    | Hint                                                                                                                                                                        |
| ----------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **ACORD**               | An insurance industry standard for data exchange (e.g. policy or claims information), often used when integrating with external insurance systems.                          |
| **Actor**               | A participant (person or system) in a business process or use case that interacts with the workflow to achieve an outcome.                                                  |
| **Admin**               | The superuser role or persona responsible for system settings and maintenance (also the name of the ops-focused studio).                                                    |
| **Agent**               | Background process running on a schedule to perform automated tasks like updates or notifications.                                                                          |
| **Agile**               | An iterative project delivery approach emphasizing flexibility, customer feedback, and incremental improvements.                                                            |
| **Alert**               | System warning or diagnostic message captured in logs when performance issues or errors occur.                                                                              |
| **Batch**               | A processing mode where many records are handled in bulk (often on a schedule) rather than in an immediate, real-time manner.                                               |
| **BLOBS**               | Large binary storage fields in the database where the platform serializes entire case contents for flexible data storage.                                                   |
| **Build**               | The process of assembling and compiling application components into a deployable package or working version of the software.                                                |
| **Cache**               | Temporary storage of data in memory for quick access on repeat requests, improving performance.                                                                             |
| **Cards**               | Visual elements on a portal page that display key case information and actions in a concise, tile-like format.                                                              |
| **Cases**               | Work items or business transactions that the platform manages from start to resolution.                                                                                     |
| **Chart**               | Graphical visualization of data (like a bar or pie) used in reports and dashboards for insights.                                                                            |
| **Churn**               | Customer attrition or turnover rate; predicting this helps organizations take proactive steps to retain clients.                                                            |
| **Claim**               | An insurance request for payment or coverage after a loss or incident, frequently managed as a case in insurance applications.                                              |
| **Class**               | Abstract container or blueprint in the application hierarchy used to group related cases or rules by type.                                                                  |
| **Cloud**               | Off-premises computing where applications run on remote servers in data centers rather than local hardware.                                                                 |
| **Cover**               | A parent case that encapsulates and tracks a set of related subcases as one unified work item.                                                                              |
| **Debug**               | The act of finding and fixing defects in an application, often by using logs and step-by-step tracing tools to isolate issues.                                              |
| **Drill**               | To explore deeper into summarized data by clicking through a chart or report to see the underlying detailed information.                                                    |
| **DXAPI**               | The platform’s headless Digital Experience interface that allows external front-end applications to work with cases and data via JSON services.                             |
| **Email**               | Electronic message communications, commonly used as a channel for sending notifications or creating cases from an inbox.                                                    |
| **Embed**               | Inserting the platform’s interface into an external web page or system using a generated snippet.                                                                           |
| **Event**               | A trigger or occurrence that the system detects and can respond to, such as a specific condition being met or an external signal arriving.                                  |
| **Excel**               | Spreadsheet software often used to import, export, or manipulate data that the platform can integrate with.                                                                 |
| **Field**               | A single piece of information captured in a form, defined by a property in the application’s data model.                                                                    |
| **Files**               | Documents or data stored on a file system that the application can read from or write to through connectors or listeners.                                                   |
| **Flows**               | Visual process definitions that orchestrate assignments, decisions, and automation in the application.                                                                      |
| **Forum**               | The online community site where Pega professionals ask questions, share knowledge, and help each other solve issues.                                                        |
| **Fraud**               | Financial crime or deceit that business systems aim to detect and prevent using rules, analytics, or machine learning models.                                               |
| **Guard**               | Protective best-practice guidelines in the platform that keep implementations on track and maintain high quality.                                                           |
| **HIPAA**               | A US healthcare regulation requiring protection of patient data privacy, influencing compliance and security features in healthcare applications.                           |
